file	faded	balanced	dyn	sat_med	cast_mag	ch_spread
Image_20260301_0073.jpg	0.350000	0.750000	0.798333	0.312500	9.050701	0.162942
Image_20260301_0074.jpg	0.356494	0.723214	0.782766	0.214286	14.379548	0.143702
Image_20260301_0075.jpg	0.343907	0.750000	0.841864	0.328358	14.000576	0.115125
Image_20260301_0076.jpg	0.383392	0.671160	0.887093	0.127389	8.027277	0.056613
Image_20260301_0077.jpg	0.096139	0.908380	0.871899	0.240741	2.941830	0.018074
Image_20260301_0078.jpg	0.238981	0.755298	0.859953	0.150000	4.680702	0.033935
Image_20260301_0079.jpg	0.364494	0.686556	0.865828	0.135802	9.162857	0.054169
Image_20260301_0080.jpg	0.350541	0.749639	0.743663	0.358382	21.947802	0.234181
Image_20260301_0081.jpg	0.369176	0.711589	0.743533	0.203125	14.913051	0.129790
Image_20260301_0082.jpg	0.289576	0.766392	0.816313	0.275510	7.402418	0.083588
Image_20260301_0083.jpg	0.350000	0.750000	0.798407	0.437500	25.763077	0.191637
Image_20260301_0084.jpg	0.350000	0.750000	0.722857	0.384615	24.371234	0.251496
Image_20260301_0085.jpg	0.257333	0.802420	0.832463	0.326923	7.914317	0.047580
Image_20260301_0086.jpg	0.141869	0.864698	0.810019	0.238532	4.057964	0.032265
Image_20260301_0087.jpg	0.196672	0.836449	0.913123	0.258065	2.545600	0.067337
Image_20260301_0088.jpg	0.207055	0.788375	0.868071	0.116279	2.293929	0.025041
Image_20260301_0089.jpg	0.338220	0.749974	0.867170	0.308824	11.964498	0.110545
Image_20260301_0090.jpg	0.198306	0.793664	0.877654	0.121359	2.756267	0.013840
Image_20260301_0091.jpg	0.167836	0.824030	0.851814	0.130435	1.851980	0.014208
Image_20260301_0092.jpg	0.350000	0.750000	0.814633	0.463277	22.913786	0.335850
Image_20260301_0093.jpg	0.254882	0.781478	0.830575	0.317949	6.767237	0.068330
Image_20260301_0094.jpg	0.308453	0.763066	0.866887	0.333333	7.991371	0.086926
Image_20260301_0095.jpg	0.350000	0.750000	0.806349	0.341463	15.712349	0.195225
Image_20260301_0096.jpg	0.266505	0.729507	0.743264	0.131915	4.955608	0.034014
Image_20260301_0097.jpg	0.350000	0.750000	0.622637	0.510204	28.669865	0.346659
Image_20260301_0098.jpg	0.350000	0.750000	0.624300	0.573770	15.419494	0.208117
Image_20260301_0099.jpg	0.327836	0.750000	0.656796	0.241935	16.271573	0.102269
Image_20260301_0100.jpg	0.350000	0.750000	0.810491	0.343750	18.205086	0.216267
Image_20260301_0101.jpg	0.333389	0.721691	0.885713	0.211864	8.549015	0.097433
Image_20260301_0102.jpg	0.295562	0.766398	0.821955	0.278846	7.642347	0.083602
Image_20260301_0103.jpg	0.302806	0.733292	0.852972	0.190141	7.511319	0.064261
Image_20260301_0104.jpg	0.320951	0.753777	0.826140	0.338983	9.216723	0.093533
Image_20260301_0105.jpg	0.336995	0.749756	0.806790	0.295455	9.847128	0.109302
Image_20260301_0106.jpg	0.317361	0.756664	0.833344	0.362319	9.824133	0.090572
Image_20260301_0107.jpg	0.250450	0.749700	0.835294	0.000000	0.000010	0.000000
Image_20260301_0108.jpg	0.250000	0.750000	0.694118	0.000000	0.000011	0.000000
Image_20260301_0109.jpg	0.300000	0.700000	0.866667	0.000000	0.000010	0.000000
Image_20260301_0110.jpg	0.312592	0.759962	0.827496	0.349776	9.383182	0.089862
Image_20260301_0111.jpg	0.337311	0.749996	0.870321	0.303571	10.749061	0.109844
Image_20260301_0112.jpg	0.323384	0.750000	0.854644	0.296053	7.908216	0.100543
Image_20260301_0113.jpg	0.059829	0.944342	0.702533	0.243902	1.560301	0.016616
Image_20260301_0114.jpg	0.181121	0.810862	0.861381	0.151515	2.866311	0.025291
Image_20260301_0115.jpg	0.344683	0.750000	0.860213	0.340659	10.587670	0.115746
Image_20260301_0116.jpg	0.280621	0.769957	0.896860	0.414634	7.193990	0.077172
Image_20260301_0117.jpg	0.280518	0.752874	0.873660	0.207792	7.486885	0.063569
Image_20260301_0118.jpg	0.284839	0.782812	0.790992	0.333333	8.235203	0.063771
Image_20260301_0119.jpg	0.341614	0.750000	0.875333	0.310924	11.050201	0.113291
Image_20260301_0120.jpg	0.233089	0.783962	0.899129	0.333333	5.918360	0.067957
Image_20260301_0121.jpg	0.333732	0.750000	0.863588	0.375000	7.349288	0.169795
Image_20260301_0122.jpg	0.390948	0.626236	0.859934	0.066298	6.510059	0.042809
Image_20260301_0123.jpg	0.171159	0.820446	0.873928	0.145833	2.392195	0.021659
Image_20260301_0124.jpg	0.141433	0.866205	0.860092	0.352000	4.129800	0.030550
Image_20260301_0125.jpg	0.314777	0.690368	0.891302	0.117647	5.251862	0.036625
Image_20260301_0126.jpg	0.318427	0.755368	0.900015	0.295238	8.025947	0.094083
Image_20260301_0127.jpg	0.297880	0.772177	0.896603	0.285714	8.333059	0.075419
Image_20260301_0128.jpg	0.340175	0.750000	0.772096	0.326087	11.857157	0.112140
